ad_id,company,title,city,top_match_experience,top_match_score,matched_skills,url
1641672,Eleving Group,Senior Credit Risk Analyst,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,,https://www.cv.lv/lv/vacancy/1641672
1631263,Atea Global Services,Senior Analytics Engineer,Rīga,Supply Chain Manager | Customer Service and Logistics Team Lead @ SIA Lofbergs Baltic,2,,https://www.cv.lv/lv/vacancy/1631263
1644063,Evolution Latvia SIA,Datu zinātnieks / Data Scientist (Information Security Threat Detection team),Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,2,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1644063
1643521,SIA Data Visualization Software Lab,Power BI reportu veidotājs,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,3,data modelling; data reconciliation; power bi; power pivot; power query,https://www.cv.lv/lv/vacancy/1643521
1643796,Evolution Latvia SIA,Produktu biznesa analītiķis (-e) (Spēļu Izstrāde) / Product Business Analyst (Game Development),Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,3,,https://www.cv.lv/lv/vacancy/1643796
1635723,Redwire Defense Tech Riga,Financial Controller,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,,https://www.cv.lv/lv/vacancy/1635723
1635207,Evolution Latvia SIA,Produktu biznesa analītiķis / Product Business Analyst (Mobile App & Integrations),Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,4,,https://www.cv.lv/lv/vacancy/1635207
1635272,Signet Bank AS,Vecākais kredītrisku analītiķis/-e,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,0,,https://www.cv.lv/lv/vacancy/1635272
1634430,Decta SIA,Lawyer specializing in personal data processing,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,2,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1634430
1632318,"Mogotel Hotel Group, AS",Business Processes IT Development Specialist,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,2,,https://www.cv.lv/lv/vacancy/1632318
1631679,UPB AS,"Apkures, ventilācijas un klimata kontroles sistēmu projektētājs/-a",Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,0,,https://www.cv.lv/lv/vacancy/1631679
1629589,SEB,"Business Information Data Architect /Biznesa informācijas datu arhitekts | SEB, Riga",Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,3,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1629589
